customer_id,name,risk_score,kyc_status,pep_flag,country_code,city,created_date
CUST-0001,Janaki Hayer,0.1766,Pending,False,IN,Jaipur,2023-09-18
CUST-0002,Anvi Baral,0.0937,Verified,False,IN,Kolkata,2026-04-04
CUST-0003,Peter Gandhi,0.1204,Verified,False,IN,Chennai,2024-10-13
CUST-0004,Nitesh Bhatti,0.0927,Verified,False,IN,Bangalore,2025-10-15
CUST-0005,Ekalinga More,0.2202,Pending,False,IN,Kochi,2024-05-29
CUST-0006,Dominic Sanghvi,0.2051,Verified,False,IN,Ahmedabad,2024-10-03
CUST-0007,Mitali Balay,0.1832,Pending,False,IN,Nagpur,2025-07-07
CUST-0008,Rayaan Dhaliwal,0.0338,Verified,False,IN,Ahmedabad,2025-09-15
CUST-0009,Kala Yohannan,0.1658,Verified,False,IN,Chandigarh,2025-07-08
CUST-0010,Benjamin Mannan,0.0663,Verified,False,IN,Chennai,2023-11-23
CUST-0011,Guneet Bajaj,0.2225,Verified,False,IN,Chandigarh,2023-09-16
CUST-0012,Wridesh Parsa,0.1068,Verified,False,IN,Delhi,2025-11-03
CUST-0013,Krishna Hora,0.059,Verified,False,IN,Mumbai,2025-11-30
CUST-0014,Vyanjana Lad,0.1806,Pending,False,IN,Indore,2026-06-11
CUST-0015,Akshay Singh,0.0153,Rejected,False,IN,Delhi,2025-07-08
CUST-0016,Joshua Kata,0.1452,Verified,False,IN,Chennai,2024-10-02
CUST-0017,Elijah Rastogi,0.2148,Pending,True,IN,Ahmedabad,2024-12-09
CUST-0018,Baljiwan Babu,0.1675,Verified,False,IN,Jaipur,2025-03-03
CUST-0019,Anita Apte,0.2542,Verified,False,IN,Indore,2023-07-26
CUST-0020,Aishani Hora,0.165,Verified,False,IN,Bangalore,2025-02-13
CUST-0021,Pranit Mangat,0.1256,Verified,False,IN,Jaipur,2024-12-26
CUST-0022,Balhaar Agrawal,0.2486,Verified,True,IN,Mumbai,2026-05-27
CUST-0023,Daksha Ratta,0.1839,Verified,False,IN,Mumbai,2024-09-07
CUST-0024,Isaiah Hans,0.1025,Verified,False,IN,Pune,2024-12-07
CUST-0025,Advay Badal,0.2666,Verified,False,IN,Kolkata,2025-11-09
CUST-0026,Ishita Sethi,0.0423,Verified,True,IN,Jaipur,2025-07-13
CUST-0027,Yashodhara Sharma,0.2406,Verified,False,IN,Chandigarh,2023-06-30
CUST-0028,Arjun Nori,0.2576,Verified,False,IN,Indore,2024-06-01
CUST-0029,Owen Seth,0.0462,Verified,False,IN,Mumbai,2026-04-02
CUST-0030,Balendra Vala,0.1854,Expired,False,IN,Bangalore,2024-08-11
CUST-0031,Yug Narang,0.2457,Verified,False,IN,Chennai,2025-09-11
CUST-0032,William Tella,0.233,Verified,True,IN,Bangalore,2023-09-26
CUST-0033,Sudiksha Mitter,0.134,Verified,False,IN,Chennai,2025-03-03
CUST-0034,Irya Mannan,0.0413,Pending,False,IN,Coimbatore,2025-06-17
CUST-0035,Faraj Modi,0.2558,Verified,False,IN,Coimbatore,2025-03-31
CUST-0036,Madhav Karpe,0.1521,Verified,False,IN,Nagpur,2024-11-09
CUST-0037,Abhiram Savant,0.0134,Verified,False,IN,Mumbai,2025-12-09
CUST-0038,Osha Ratti,0.0766,Verified,False,IN,Mumbai,2023-07-30
CUST-0039,Indira Bhardwaj,0.0455,Verified,False,IN,Chandigarh,2024-08-31
CUST-0040,Mitali Handa,0.1224,Verified,False,IN,Delhi,2025-12-30
CUST-0041,Aayush Dass,0.1245,Verified,False,IN,Indore,2024-05-19
CUST-0042,Dominic Anand,0.0977,Pending,False,IN,Jaipur,2025-03-29
CUST-0043,Vasudha Sarkar,0.054,Verified,False,IN,Ahmedabad,2024-01-16
CUST-0044,Irya Viswanathan,0.223,Pending,False,IN,Delhi,2024-12-30
CUST-0045,Laban Kothari,0.0777,Verified,False,IN,Kolkata,2025-01-08
CUST-0046,Ryan Sangha,0.2397,Expired,False,IN,Chandigarh,2024-10-04
CUST-0047,Hitesh Kunda,0.253,Pending,False,IN,Jaipur,2023-11-27
CUST-0048,Vedhika Lall,0.0467,Verified,False,IN,Mumbai,2024-05-27
CUST-0049,Bhavani Sethi,0.2534,Pending,False,IN,Kolkata,2024-03-15
CUST-0050,Ishita Yadav,0.0311,Verified,False,IN,Coimbatore,2025-06-08
